date,gold_futures,silver_futures,platinum_futures,palladium_futures,gold_spot,silver_spot,platinum_spot,palladium_spot
2012-01-03,1600.5,29.572,1436.2,664.8,1603.88,29.71,1428.5,660.25
2012-01-04,1612.7,29.097,1426.05,649.9,1611.73,29.16,1415.2,649.0
2012-01-05,1620.1,29.296,1421.25,640.4,1621.43,29.34,1411.0,637.75
2012-01-06,1616.8,28.683,1406.55,616.1,1617.55,28.75,1401.5,612.75
2012-01-09,1608.1,28.782,1426.15,620.0,1610.88,29.02,1426.0,615.75
2012-01-10,1631.5,29.815,1467.1,636.9,1632.33,29.92,1461.0,633.75
2012-01-11,1639.6,29.89,1499.55,643.6,1643.13,29.99,1489.5,641.75
2012-01-12,1647.7,30.124,1498.95,635.1,1648.68,30.24,1492.5,634.75
2012-01-13,1630.8,29.522,1493.45,639.8,1639.48,29.75,1489.5,637.25
2012-01-16,1655.6,30.135,1501.75,641.8,1643.63,29.97,1497.0,639.0
2012-01-18,1659.9,30.543,1527.95,668.3,1659.48,30.53,1521.5,666.0
2012-01-19,1654.5,30.509,1524.75,675.2,1656.73,30.63,1519.0,675.25
2012-01-20,1664.0,31.675,1537.9,678.2,1666.58,32.16,1532.3,674.75
2012-01-23,1678.3,32.27,1568.65,688.1,1676.43,32.34,1560.5,685.5
2012-01-24,1664.5,31.975,1550.75,682.2,1665.36,32.01,1545.0,675.5
2012-01-25,1700.1,33.121,1583.65,694.2,1710.68,33.26,1579.5,692.0
2012-01-26,1726.7,33.743,1609.8,691.4,1720.83,33.46,1607.5,690.75
2012-01-27,1732.2,33.79,1624.6,690.6,1739.26,33.91,1619.3,687.5
2012-01-30,1734.4,33.527,1612.8,689.3,1731.03,33.5,1609.5,685.75
2012-01-31,1740.4,33.262,1593.75,685.2,1737.23,33.145,1585.4,683.25
2012-02-01,1749.5,33.807,1620.95,697.6,1744.93,33.7,1614.0,695.0
2012-02-02,1759.3,34.175,1630.3,709.6,1758.68,34.33,1627.5,705.25
2012-02-03,1740.3,33.749,1625.35,707.6,1726.18,33.65,1618.0,703.0
2012-02-06,1724.9,33.75,1623.95,705.3,1719.93,33.68,1623.5,703.5
2012-02-07,1748.4,34.194,1649.25,708.7,1745.48,34.15,1648.0,706.0
2012-02-08,1731.3,33.704,1665.55,715.0,1734.93,33.96,1662.0,711.5
2012-02-09,1741.2,33.917,1660.0,711.5,1730.96,33.91,1655.0,707.25
2012-02-10,1725.3,33.604,1661.75,703.2,1721.72,33.57,1657.0,701.0
2012-02-13,1724.9,33.722,1649.05,698.0,1721.91,33.69,1649.5,694.75
