scale,series,n_obs,max,min,mean,std,skew,kurtosis,jarque_bera,jb_pvalue,adf_stat,adf_pvalue,adf_lags,adf_nobs
STC,gold_futures,3100.0,5.475661979538008,-5.659854401779483,0.005111413806285468,0.8619465696202755,0.022994594068400716,5.079455482566788,555.9703504631934,1.873149091528247e-121,-29.130076059074867,0.0,5.0,3094.0
STC,gold_spot,3100.0,5.928550458314928,-6.322250996782193,0.004179657969319639,0.8098616031603132,0.021571402647502975,5.890354884594956,1074.3996505265793,4.978290192861896e-234,-40.78887046443268,0.0,3.0,3096.0
STC,silver_futures,3100.0,16.09776025846469,-17.473755272291857,0.012978145772809755,1.7239296066898222,0.3733486649913332,15.467779326441184,20079.41903177772,0.0,-14.484623765526605,6.290634683895277e-27,16.0,3083.0
STC,silver_spot,3100.0,17.25920148882482,-15.099126774025372,0.028181890479898993,1.5761698142755927,0.4730215990828709,17.007935334107557,25372.219850816462,0.0,-20.258474257548396,0.0,5.0,3094.0
STC,platinum_futures,3100.0,9.892899590584813,-10.460243687826225,0.014627504193009812,1.4076609096014572,0.10880229079954414,7.481840498405917,2590.0724049778482,0.0,-48.37890952837825,0.0,2.0,3097.0
STC,platinum_spot,3100.0,10.529601538686524,-10.990964414989879,0.02376827025307661,1.3181998039517782,0.10853958628062527,8.167915351003112,3442.087586052796,0.0,-14.136988951223612,2.2809198678363682e-26,15.0,3084.0
STC,palladium_futures,3100.0,12.125374809945713,-11.51001288936355,0.0027803150259330988,1.7896410431226841,0.05795543521031766,5.8043980945057045,1012.912350541683,1.1191228265229813e-220,-25.170100793507196,0.0,7.0,3092.0
STC,palladium_spot,3100.0,7.676815181877556,-7.623727785155273,0.016689061561056994,1.6662815022921087,0.013039270989186958,4.377189098675997,243.59563788746954,1.2702211065335786e-53,-24.93482071986089,0.0,7.0,3092.0
MTC,gold_futures,3100.0,3.121559977302192,-3.1066209996309864,0.0030799159733418133,0.5166045945158633,-0.018323647301998588,7.318782185199218,2399.4578396020934,0.0,-20.242700760603917,0.0,13.0,3086.0
MTC,gold_spot,3100.0,2.532991301590141,-2.492778735812568,0.00394036261039402,0.4660617294068344,0.020228128384421704,5.920396147007272,1096.83066422243,6.70266436899086e-239,-27.02371920244377,0.0,9.0,3090.0
MTC,silver_futures,3100.0,6.627562875316836,-5.771578466393883,0.0035992745678634975,0.942964178772606,0.15060215035770286,8.158151330275759,3434.7376278179217,0.0,-11.508719730422753,4.31194605005938e-21,29.0,3070.0
MTC,silver_spot,3100.0,6.16965564634031,-5.689110808132154,0.006481430749774745,0.8822351351360481,-0.05108764030360627,9.623115666516696,5645.769348134812,0.0,-18.13879399425007,2.4941917064721543e-30,14.0,3085.0
MTC,platinum_futures,3100.0,4.67906025319503,-4.66484519795725,-0.0007281732860453513,0.7861348101346926,-0.027521630190540686,6.982352065258752,2040.275158216772,0.0,-12.473245369965701,3.2099642582339105e-23,18.0,3081.0
MTC,platinum_spot,3100.0,4.177045640500605,-4.679330684303736,-0.006796125186514005,0.7302291401312196,-0.020532415175902378,7.105135896300651,2167.8914377056153,0.0,-11.216488661806217,2.0634721810104924e-20,27.0,3072.0
MTC,palladium_futures,3100.0,8.91782015850783,-9.865435754245368,0.00725145837770919,1.1807963988005306,0.11104005725705214,12.975365277767201,12813.082580477394,0.0,-20.598499285404372,0.0,10.0,3089.0
MTC,palladium_spot,3100.0,8.020205404606621,-7.930525187589944,0.020525448478146434,1.0550137081725806,0.24191450891411326,9.706229934251546,5817.225538121802,0.0,-26.616256360731366,0.0,7.0,3092.0
LTC,gold_futures,3100.0,3.8022958260942854,-3.939961193751452,0.026411342460687184,0.5453038628778913,-0.33347962912808043,8.679401754710451,4207.494435440938,0.0,-10.05492241626178,1.3811319523262378e-17,21.0,3078.0
LTC,gold_spot,3100.0,2.879760972757759,-3.9266360834929004,0.026336801356571515,0.5254583145933369,-0.1898294300220138,6.9989017651562495,2075.48242768233,0.0,-9.550928518826662,2.573177697799147e-16,26.0,3073.0
LTC,silver_futures,3100.0,8.921987128866988,-14.533824011456288,0.013409017150333593,1.1778491783678986,-1.926789871396979,28.829241583138298,87799.26573794619,0.0,-14.185513197909907,1.8959398547116264e-26,13.0,3086.0
LTC,silver_spot,3100.0,6.218653503959696,-14.579697295174453,-0.0047372039384545005,1.146556735355362,-2.4286832444703217,32.398193636732934,114303.06848910238,0.0,-15.158388000458045,6.644235637669903e-28,11.0,3088.0
LTC,platinum_futures,3100.0,4.198475592263565,-8.213372259797254,-0.0037014494958237496,0.864953144547543,-0.6384284902088471,12.355196051964317,11473.92315255738,0.0,-12.397954496192764,4.6294798358174404e-23,17.0,3082.0
LTC,platinum_spot,3100.0,4.180182070594455,-7.3939730890402835,-0.006881720832670304,0.8185214969215953,-0.6833069490351776,11.842430717942646,10303.411152872972,0.0,-11.17890817550807,2.529740874002053e-20,23.0,3076.0
LTC,palladium_futures,3100.0,6.351149996621388,-7.33653034285269,0.015947771560181824,1.1664544272853603,-0.15782510535023653,7.15504292995866,2233.582249434448,0.0,-14.26437748967974,1.408802976253812e-26,10.0,3089.0
LTC,palladium_spot,3100.0,7.417510489208336,-8.494952891010968,-0.01116188372163349,1.1674734438657792,-0.19506986531632292,8.607697796438783,4065.5676886927636,0.0,-12.654749644798416,1.3443109961272566e-23,14.0,3085.0
