series,mode,mode_order,mean_period,spearman_corr,spearman_pvalue,spearman_significance,variance_contribution,run_length_number,gmm_cluster,gmm_cluster_mean_rln,scale
gold_futures,IMF1,1,2.716914986853637,0.7383325015820368,0.0,***,0.5804438809360845,2181.0,2.0,2181.0,STC
gold_futures,IMF2,2,5.486725663716814,0.42542701164705654,1.6345990355165842e-136,***,0.20850480832273077,1081.0,0.0,1081.0,MTC
gold_futures,IMF3,3,11.03202846975089,0.27302418880412516,4.025686337704631e-54,***,0.10913102602530764,519.0,1.0,129.5,LTC
gold_futures,IMF4,4,21.52777777777778,0.21948055155592996,3.976727994904849e-35,***,0.05747329513587232,266.0,1.0,129.5,LTC
gold_futures,IMF5,5,41.333333333333336,0.16075456601694466,2.1477966157347648e-19,***,0.023842026308645223,134.0,1.0,129.5,LTC
gold_futures,IMF6,6,88.57142857142857,0.09025284912473087,4.820727804909163e-07,***,0.013119762658299042,66.0,1.0,129.5,LTC
gold_futures,IMF7,7,206.66666666666666,0.06635459761629042,0.0002181172693191882,***,0.004216503918898545,27.0,1.0,129.5,LTC
gold_futures,IMF8,8,442.85714285714283,0.03387023615155641,0.05934950197020468,*,0.0009459150473159656,13.0,1.0,129.5,LTC
gold_futures,IMF9,9,775.0,0.05436378463625574,0.002462873977805155,***,0.0013949739478347205,7.0,1.0,129.5,LTC
gold_futures,IMF10,10,3100.0,0.018742814704109927,0.2968433925041399,,0.0002510385636887116,4.0,1.0,129.5,LTC
gold_futures,residue,11,inf,0.06612100663887359,0.0002295941524953841,***,0.0006767691353226202,,,,LTC
silver_futures,IMF1,1,2.7264731750219875,0.7367912331856517,0.0,***,0.5479411683461319,2160.0,1.0,2160.0,STC
silver_futures,IMF2,2,5.391304347826087,0.42014702121581904,7.51658036649914e-133,***,0.16394012620652876,1084.0,2.0,1084.0,MTC
silver_futures,IMF3,3,10.580204778156997,0.2860752440298714,1.8179368743397864e-59,***,0.0962550653698313,558.0,0.0,135.625,LTC
silver_futures,IMF4,4,21.379310344827587,0.20075520446000497,1.5012244232337708e-29,***,0.10933498390765177,271.0,0.0,135.625,LTC
silver_futures,IMF5,5,40.78947368421053,0.1319846313089784,1.6077428408958758e-13,***,0.06149565102722666,144.0,0.0,135.625,LTC
silver_futures,IMF6,6,96.875,0.10003784844159944,2.382730144651048e-08,***,0.014032591760557099,61.0,0.0,135.625,LTC
silver_futures,IMF7,7,206.66666666666666,0.06036476134644826,0.0007719010493907057,***,0.004806698457866733,28.0,0.0,135.625,LTC
silver_futures,IMF8,8,442.85714285714283,0.01792704328775729,0.31836996876373574,,0.0013710224892581123,13.0,0.0,135.625,LTC
silver_futures,IMF9,9,1033.3333333333333,0.05972004616042129,0.0008788100212289276,***,0.0005312908586953505,6.0,0.0,135.625,LTC
silver_futures,IMF10,10,1550.0,0.01621124812790302,0.3668978636162966,,7.009132919798787e-05,4.0,0.0,135.625,LTC
silver_futures,residue,11,inf,0.04637817111086782,0.009806589772654464,***,0.00022131024705435073,,,,LTC
platinum_futures,IMF1,1,2.7927927927927927,0.7462076525111474,0.0,***,0.6103071698372983,2114.0,1.0,2114.0,STC
platinum_futures,IMF2,2,5.595667870036101,0.4744074896087034,8.991751142962162e-174,***,0.19034717057392647,1036.0,2.0,1036.0,MTC
platinum_futures,IMF3,3,10.99290780141844,0.30917572385040193,1.188655080444277e-69,***,0.08298942193822953,522.0,0.0,127.625,LTC
platinum_futures,IMF4,4,22.463768115942027,0.22299884573540368,3.101195372960943e-36,***,0.07170430026935337,259.0,0.0,127.625,LTC
platinum_futures,IMF5,5,48.4375,0.15044612177291772,3.7303647615736926e-17,***,0.028512862929584198,126.0,0.0,127.625,LTC
platinum_futures,IMF6,6,93.93939393939394,0.09133125849917366,3.5112957790764927e-07,***,0.007542502949418797,61.0,0.0,127.625,LTC
platinum_futures,IMF7,7,221.42857142857142,0.047282843912670326,0.008463229458212259,***,0.006901258111588779,26.0,0.0,127.625,LTC
platinum_futures,IMF8,8,442.85714285714283,0.028202428642252714,0.11643285342015669,,0.001255214498798102,14.0,0.0,127.625,LTC
