date,network_id,network_type,window_size,window_start,window_end,n_nodes,tci,TCI
2013-01-02,same_scale_STC,same_scale_cross_metal,252,2012-01-04,2013-01-02,8,0.8843281396495568,88.43281396495568
2013-01-03,same_scale_STC,same_scale_cross_metal,252,2012-01-05,2013-01-03,8,0.8836863637826754,88.36863637826754
2013-01-04,same_scale_STC,same_scale_cross_metal,252,2012-01-06,2013-01-04,8,0.8829981003717717,88.29981003717717
2013-01-07,same_scale_STC,same_scale_cross_metal,252,2012-01-09,2013-01-07,8,0.8821043535894085,88.21043535894086
2013-01-08,same_scale_STC,same_scale_cross_metal,252,2012-01-10,2013-01-08,8,0.8822203660521658,88.22203660521659
2013-01-09,same_scale_STC,same_scale_cross_metal,252,2012-01-11,2013-01-09,8,0.8813440273820762,88.13440273820761
2013-01-10,same_scale_STC,same_scale_cross_metal,252,2012-01-12,2013-01-10,8,0.8813687912257158,88.13687912257157
2013-01-11,same_scale_STC,same_scale_cross_metal,252,2012-01-13,2013-01-11,8,0.88114881757469,88.11488175746899
2013-01-14,same_scale_STC,same_scale_cross_metal,252,2012-01-16,2013-01-14,8,0.8809012111522281,88.09012111522281
2013-01-15,same_scale_STC,same_scale_cross_metal,252,2012-01-18,2013-01-15,8,0.880849057848238,88.0849057848238
2013-01-16,same_scale_STC,same_scale_cross_metal,252,2012-01-19,2013-01-16,8,0.8805693070677946,88.05693070677945
2013-01-17,same_scale_STC,same_scale_cross_metal,252,2012-01-20,2013-01-17,8,0.8801524405012356,88.01524405012357
2013-01-18,same_scale_STC,same_scale_cross_metal,252,2012-01-23,2013-01-18,8,0.881268363416128,88.1268363416128
2013-01-21,same_scale_STC,same_scale_cross_metal,252,2012-01-24,2013-01-21,8,0.8818087725194587,88.18087725194587
2013-01-23,same_scale_STC,same_scale_cross_metal,252,2012-01-25,2013-01-23,8,0.8810664792449516,88.10664792449516
2013-01-24,same_scale_STC,same_scale_cross_metal,252,2012-01-26,2013-01-24,8,0.8801805488534115,88.01805488534114
2013-01-25,same_scale_STC,same_scale_cross_metal,252,2012-01-27,2013-01-25,8,0.8805951940176495,88.05951940176496
2013-01-28,same_scale_STC,same_scale_cross_metal,252,2012-01-30,2013-01-28,8,0.8808224404239111,88.08224404239111
2013-01-29,same_scale_STC,same_scale_cross_metal,252,2012-01-31,2013-01-29,8,0.8806428457099065,88.06428457099065
2013-01-30,same_scale_STC,same_scale_cross_metal,252,2012-02-01,2013-01-30,8,0.8813776432050342,88.13776432050342
2013-01-31,same_scale_STC,same_scale_cross_metal,252,2012-02-02,2013-01-31,8,0.8815809437602167,88.15809437602167
2013-02-01,same_scale_STC,same_scale_cross_metal,252,2012-02-03,2013-02-01,8,0.882011728243734,88.2011728243734
2013-02-04,same_scale_STC,same_scale_cross_metal,252,2012-02-06,2013-02-04,8,0.8814958575554964,88.14958575554964
2013-02-05,same_scale_STC,same_scale_cross_metal,252,2012-02-07,2013-02-05,8,0.8817159142185922,88.17159142185922
2013-02-06,same_scale_STC,same_scale_cross_metal,252,2012-02-08,2013-02-06,8,0.881384229528737,88.1384229528737
