lag,aic,bic,n_obs,target,network_id
1,8734.52004958371,8782.830727646013,3099,gold_futures_STC,same_scale_STC
2,8611.635018636956,8702.21269895161,3098,gold_futures_STC,same_scale_STC
3,8514.528601103735,8647.368763063145,3097,gold_futures_STC,same_scale_STC
4,8479.793099123937,8654.891219930516,3096,gold_futures_STC,same_scale_STC
5,8439.040761041848,8656.392315706122,3095,gold_futures_STC,same_scale_STC
1,13504.801020483259,13553.111698545561,3099,silver_futures_STC,same_scale_STC
2,13362.38731212643,13452.964992441082,3098,silver_futures_STC,same_scale_STC
3,13188.045388203009,13320.885550162418,3097,silver_futures_STC,same_scale_STC
4,13053.081157951878,13228.179278758456,3096,silver_futures_STC,same_scale_STC
5,12949.514444851773,13166.865999516047,3095,silver_futures_STC,same_scale_STC
1,12220.515390385826,12268.826068448128,3099,platinum_futures_STC,same_scale_STC
2,12088.697232131903,12179.274912446555,3098,platinum_futures_STC,same_scale_STC
3,12047.429963595057,12180.270125554467,3097,platinum_futures_STC,same_scale_STC
4,11970.254285502151,12145.35240630873,3096,platinum_futures_STC,same_scale_STC
5,11897.491752581973,12114.843307246247,3095,platinum_futures_STC,same_scale_STC
1,13979.163709929366,14027.474387991668,3099,palladium_futures_STC,same_scale_STC
2,13933.37972511155,14023.957405426203,3098,palladium_futures_STC,same_scale_STC
3,13861.632697228371,13994.472859187781,3097,palladium_futures_STC,same_scale_STC
4,13799.12370924873,13974.221830055309,3096,palladium_futures_STC,same_scale_STC
5,13737.454283103241,13954.805837767515,3095,palladium_futures_STC,same_scale_STC
1,8858.168565970318,8906.47924403262,3099,gold_spot_STC,same_scale_STC
2,8657.43145604555,8748.009136360202,3098,gold_spot_STC,same_scale_STC
3,8509.682157733345,8642.522319692755,3097,gold_spot_STC,same_scale_STC
4,8406.333877469104,8581.431998275682,3096,gold_spot_STC,same_scale_STC
5,8291.808250161335,8509.15980482561,3095,gold_spot_STC,same_scale_STC
1,12997.440147154468,13045.75082521677,3099,silver_spot_STC,same_scale_STC
2,12851.438198914871,12942.015879229524,3098,silver_spot_STC,same_scale_STC
3,12710.942174685564,12843.782336644974,3097,silver_spot_STC,same_scale_STC
4,12613.584389960639,12788.682510767218,3096,silver_spot_STC,same_scale_STC
5,12498.115891492109,12715.467446156383,3095,silver_spot_STC,same_scale_STC
1,11807.561145893176,11855.871823955478,3099,platinum_spot_STC,same_scale_STC
2,11687.117259119706,11777.69493943436,3098,platinum_spot_STC,same_scale_STC
3,11651.183371112587,11784.023533071997,3097,platinum_spot_STC,same_scale_STC
4,11586.677839341257,11761.775960147836,3096,platinum_spot_STC,same_scale_STC
5,11500.111124239602,11717.462678903876,3095,platinum_spot_STC,same_scale_STC
1,13607.532762619408,13655.84344068171,3099,palladium_spot_STC,same_scale_STC
2,13559.357600385756,13649.935280700409,3098,palladium_spot_STC,same_scale_STC
3,13492.297607049903,13625.137769009312,3097,palladium_spot_STC,same_scale_STC
4,13436.795725264084,13611.893846070663,3096,palladium_spot_STC,same_scale_STC
