fold,high_state,quantile,target,test_positive_rate,threshold,train_positive_rate
1,high_q75,0.75,tci_same_scale_STC,0.40616966580976865,86.18841958799334,0.2501751927119832
2,high_q75,0.75,tci_same_scale_STC,1.0,86.29385623282651,0.25
3,high_q75,0.75,tci_same_scale_STC,0.40512820512820513,87.10904416622915,0.2503401360544218
1,high_q90,0.9,tci_same_scale_STC,0.3444730077120823,86.61805825140085,0.10021023125437982
2,high_q90,0.9,tci_same_scale_STC,1.0,86.94725503709091,0.10022026431718062
3,high_q90,0.9,tci_same_scale_STC,0.0,89.12372292686807,0.10022675736961452
1,high_q75,0.75,tci_same_scale_MTC,0.0,79.89413639449396,0.2501751927119832
2,high_q75,0.75,tci_same_scale_MTC,0.0,79.41406221409224,0.25
3,high_q75,0.75,tci_same_scale_MTC,0.0,79.16331618239279,0.2503401360544218
1,high_q90,0.9,tci_same_scale_MTC,0.0,81.39913854282315,0.10021023125437982
2,high_q90,0.9,tci_same_scale_MTC,0.0,81.07021783530647,0.10022026431718062
3,high_q90,0.9,tci_same_scale_MTC,0.0,80.77142121451783,0.10022675736961452
1,high_q75,0.75,tci_within_gold,0.3856041131105398,67.30724519733229,0.2501751927119832
2,high_q75,0.75,tci_within_gold,0.3856041131105398,68.60792043610492,0.25
3,high_q75,0.75,tci_within_gold,0.45384615384615384,69.67372249357308,0.2503401360544218
1,high_q90,0.9,tci_within_gold,0.20565552699228792,73.83296637753007,0.10021023125437982
2,high_q90,0.9,tci_within_gold,0.18766066838046272,74.72460534974576,0.10022026431718062
3,high_q90,0.9,tci_within_gold,0.31794871794871793,75.3278911696292,0.10022675736961452
1,high_q75,0.75,tci_within_silver,0.6041131105398457,64.8630186221634,0.2501751927119832
2,high_q75,0.75,tci_within_silver,0.12853470437017994,66.57683445881881,0.25
3,high_q75,0.75,tci_within_silver,0.20512820512820512,65.99762698255633,0.2503401360544218
1,high_q90,0.9,tci_within_silver,0.043701799485861184,74.29905610906933,0.10021023125437982
2,high_q90,0.9,tci_within_silver,0.030848329048843187,73.43075095270356,0.10022026431718062
3,high_q90,0.9,tci_within_silver,0.0,72.90387368896667,0.10022675736961452
1,high_q75,0.75,tci_within_platinum,0.0,94.88660039949153,0.2501751927119832
2,high_q75,0.75,tci_within_platinum,0.0,94.60395748598938,0.25
3,high_q75,0.75,tci_within_platinum,0.0,94.25167462101533,0.2503401360544218
1,high_q90,0.9,tci_within_platinum,0.0,97.0391972432101,0.10021023125437982
2,high_q90,0.9,tci_within_platinum,0.0,96.62273008208112,0.10022026431718062
3,high_q90,0.9,tci_within_platinum,0.0,95.89156676400601,0.10022675736961452
1,high_q75,0.75,tci_within_palladium,0.16452442159383032,86.70194425862684,0.2501751927119832
2,high_q75,0.75,tci_within_palladium,0.2596401028277635,85.93326374905206,0.25
3,high_q75,0.75,tci_within_palladium,0.24358974358974358,86.01543374646636,0.2503401360544218
1,high_q90,0.9,tci_within_palladium,0.12596401028277635,91.38939857401243,0.10021023125437982
2,high_q90,0.9,tci_within_palladium,0.20565552699228792,91.64755335430709,0.10022026431718062
3,high_q90,0.9,tci_within_palladium,0.0,92.33174093866359,0.10022675736961452
