analysis_type,base_score,fold,group,high_state,importance_drop,importance_positive,mode,model_type,n_features,permuted_score_mean,permuted_score_std,signed_importance,target
classification,,3,CFTC_GOLD,high_q75,6.826025860759916,6.826025860759916,external_only,LogisticCoefficient,35,,,0.16148936566953315,tci_same_scale_STC
classification,,3,CFTC_PALLADIUM,high_q75,8.682295761403527,8.682295761403527,external_only,LogisticCoefficient,35,,,3.114272705465538,tci_same_scale_STC
classification,,3,CFTC_PLATINUM,high_q75,8.130626826899556,8.130626826899556,external_only,LogisticCoefficient,35,,,-1.5826506889134753,tci_same_scale_STC
classification,,3,CFTC_SILVER,high_q75,6.945706156087284,6.945706156087284,external_only,LogisticCoefficient,35,,,-1.461839796031931,tci_same_scale_STC
classification,,3,GPR,high_q75,5.923246326895348,5.923246326895348,external_only,LogisticCoefficient,25,,,0.6190919149014585,tci_same_scale_STC
classification,,3,INFLATION_GROWTH,high_q75,5.585689502784179,5.585689502784179,external_only,LogisticCoefficient,15,,,3.6856403601682626,tci_same_scale_STC
classification,,3,OIL,high_q75,3.378275796528749,3.378275796528749,external_only,LogisticCoefficient,10,,,2.521402652091915,tci_same_scale_STC
classification,,3,RATE,high_q75,5.596203315430137,5.596203315430137,external_only,LogisticCoefficient,20,,,3.1427420209688286,tci_same_scale_STC
classification,,3,REL_GOLD_PLATINUM,high_q75,6.637205673543397,6.637205673543397,external_only,LogisticCoefficient,20,,,4.8262767034192775,tci_same_scale_STC
classification,,3,REL_GOLD_SILVER,high_q75,3.635870490436622,3.635870490436622,external_only,LogisticCoefficient,20,,,2.4940916782720937,tci_same_scale_STC
classification,,3,REL_PLATINUM_PALLADIUM,high_q75,3.9015619678441507,3.9015619678441507,external_only,LogisticCoefficient,20,,,0.9197715817364879,tci_same_scale_STC
classification,,3,RISK_STRESS,high_q75,3.675904582124198,3.675904582124198,external_only,LogisticCoefficient,15,,,0.44243947900155867,tci_same_scale_STC
classification,,3,USD,high_q75,2.580827463625819,2.580827463625819,external_only,LogisticCoefficient,10,,,1.1583912461933128,tci_same_scale_STC
classification,0.7883975338280227,3,CFTC_GOLD,high_q75,0.01738687618216217,0.01738687618216217,external_only,RandomForestClassifierPermutation,35,0.7710106576458605,0.006246480995840132,,tci_same_scale_STC
classification,0.7883975338280227,3,CFTC_PALLADIUM,high_q75,-0.0018960061108687087,0.0,external_only,RandomForestClassifierPermutation,35,0.7902935399388914,0.0013366133155154566,,tci_same_scale_STC
classification,0.7883975338280227,3,CFTC_PLATINUM,high_q75,-0.0007865924632619592,0.0,external_only,RandomForestClassifierPermutation,35,0.7891841262912846,0.00320369422134489,,tci_same_scale_STC
classification,0.7883975338280227,3,CFTC_SILVER,high_q75,0.0009684635530337049,0.0009684635530337049,external_only,RandomForestClassifierPermutation,35,0.787429070274989,0.0003124400287831111,,tci_same_scale_STC
classification,0.7883975338280227,3,GPR,high_q75,-1.1102230246251565e-16,0.0,external_only,RandomForestClassifierPermutation,25,0.7883975338280228,1.1102230246251565e-16,,tci_same_scale_STC
classification,0.7883975338280227,3,INFLATION_GROWTH,high_q75,-0.08191928561035933,0.0,external_only,RandomForestClassifierPermutation,15,0.870316819438382,0.01073824424890685,,tci_same_scale_STC
classification,0.7883975338280227,3,OIL,high_q75,0.19343354430379744,0.19343354430379744,external_only,RandomForestClassifierPermutation,10,0.5949639895242252,0.026809483570605853,,tci_same_scale_STC
classification,0.7883975338280227,3,RATE,high_q75,-0.004123926960570512,0.0,external_only,RandomForestClassifierPermutation,20,0.7925214607885932,0.0027495862384249994,,tci_same_scale_STC
classification,0.7883975338280227,3,REL_GOLD_PLATINUM,high_q75,-0.0020460497599301686,0.0,external_only,RandomForestClassifierPermutation,20,0.7904435835879529,0.0010902599203453912,,tci_same_scale_STC
classification,0.7883975338280227,3,REL_GOLD_SILVER,high_q75,-0.0060926815073475415,0.0,external_only,RandomForestClassifierPermutation,20,0.7944902153353702,0.0023283140180041634,,tci_same_scale_STC
classification,0.7883975338280227,3,REL_PLATINUM_PALLADIUM,high_q75,0.0029463116542994827,0.0029463116542994827,external_only,RandomForestClassifierPermutation,20,0.7854512221737232,0.0004504752683144639,,tci_same_scale_STC
classification,0.7883975338280227,3,RISK_STRESS,high_q75,-1.1102230246251565e-16,0.0,external_only,RandomForestClassifierPermutation,15,0.7883975338280228,1.1102230246251565e-16,,tci_same_scale_STC
classification,0.7883975338280227,3,USD,high_q75,-1.1102230246251565e-16,0.0,external_only,RandomForestClassifierPermutation,10,0.7883975338280228,1.1102230246251565e-16,,tci_same_scale_STC
classification,,3,CFTC_GOLD,high_q75,6.371379748518594,6.371379748518594,arx_external_plus_target_lags,LogisticCoefficient,35,,,-0.02221186627337096,tci_same_scale_STC
classification,,3,CFTC_PALLADIUM,high_q75,6.933637827825054,6.933637827825054,arx_external_plus_target_lags,LogisticCoefficient,35,,,2.6049493251910016,tci_same_scale_STC
classification,,3,CFTC_PLATINUM,high_q75,7.494070247050688,7.494070247050688,arx_external_plus_target_lags,LogisticCoefficient,35,,,-1.5154940898751152,tci_same_scale_STC
classification,,3,CFTC_SILVER,high_q75,6.173026510010599,6.173026510010599,arx_external_plus_target_lags,LogisticCoefficient,35,,,-1.5957783914694335,tci_same_scale_STC
classification,,3,GPR,high_q75,5.022207667068928,5.022207667068928,arx_external_plus_target_lags,LogisticCoefficient,25,,,1.1515474360895532,tci_same_scale_STC
classification,,3,INFLATION_GROWTH,high_q75,3.9007619192723437,3.9007619192723437,arx_external_plus_target_lags,LogisticCoefficient,15,,,2.352628612507881,tci_same_scale_STC
classification,,3,OIL,high_q75,2.781823378615951,2.781823378615951,arx_external_plus_target_lags,LogisticCoefficient,10,,,1.737575945935145,tci_same_scale_STC
classification,,3,RATE,high_q75,4.6841923263867695,4.6841923263867695,arx_external_plus_target_lags,LogisticCoefficient,20,,,3.4200212866419735,tci_same_scale_STC
classification,,3,REL_GOLD_PLATINUM,high_q75,5.972514446786017,5.972514446786017,arx_external_plus_target_lags,LogisticCoefficient,20,,,4.276469782452282,tci_same_scale_STC
classification,,3,REL_GOLD_SILVER,high_q75,4.293640942231836,4.293640942231836,arx_external_plus_target_lags,LogisticCoefficient,20,,,2.9445331254670672,tci_same_scale_STC
classification,,3,REL_PLATINUM_PALLADIUM,high_q75,3.9977186999505028,3.9977186999505028,arx_external_plus_target_lags,LogisticCoefficient,20,,,0.5214288300916176,tci_same_scale_STC
classification,,3,RISK_STRESS,high_q75,3.3220188376996846,3.3220188376996846,arx_external_plus_target_lags,LogisticCoefficient,15,,,-0.39374149747953385,tci_same_scale_STC
classification,,3,TCI_AR,high_q75,4.183788772082716,4.183788772082716,arx_external_plus_target_lags,LogisticCoefficient,5,,,4.183788772082716,tci_same_scale_STC
classification,,3,USD,high_q75,2.1411600062546796,2.1411600062546796,arx_external_plus_target_lags,LogisticCoefficient,10,,,0.8977042619951011,tci_same_scale_STC
classification,0.9853502837189001,3,CFTC_GOLD,high_q75,0.00389204132111165,0.00389204132111165,arx_external_plus_target_lags,RandomForestClassifierPermutation,35,0.9814582423977884,0.002390610556550629,,tci_same_scale_STC
classification,0.9853502837189001,3,CFTC_PALLADIUM,high_q75,0.0003773825112760587,0.0003773825112760587,arx_external_plus_target_lags,RandomForestClassifierPermutation,35,0.984972901207624,0.000213165796772358,,tci_same_scale_STC
classification,0.9853502837189001,3,CFTC_PLATINUM,high_q75,0.0038738542121344866,0.0038738542121344866,arx_external_plus_target_lags,RandomForestClassifierPermutation,35,0.9814764295067656,0.0003695497922344162,,tci_same_scale_STC
classification,0.9853502837189001,3,CFTC_SILVER,high_q75,0.0005638003782919565,0.0005638003782919565,arx_external_plus_target_lags,RandomForestClassifierPermutation,35,0.9847864833406081,0.00019682872128184273,,tci_same_scale_STC
classification,0.9853502837189001,3,GPR,high_q75,1.1102230246251565e-16,1.1102230246251565e-16,arx_external_plus_target_lags,RandomForestClassifierPermutation,25,0.9853502837189,1.1102230246251565e-16,,tci_same_scale_STC
classification,0.9853502837189001,3,INFLATION_GROWTH,high_q75,-0.0023188563945873986,0.0,arx_external_plus_target_lags,RandomForestClassifierPermutation,15,0.9876691401134875,0.0015262956248312768,,tci_same_scale_STC
classification,0.9853502837189001,3,OIL,high_q75,0.01997853921140702,0.01997853921140702,arx_external_plus_target_lags,RandomForestClassifierPermutation,10,0.9653717445074931,0.0035917410663490836,,tci_same_scale_STC
classification,0.9853502837189001,3,RATE,high_q75,0.0023870580532520114,0.0023870580532520114,arx_external_plus_target_lags,RandomForestClassifierPermutation,20,0.9829632256656481,0.0012181969424796227,,tci_same_scale_STC
classification,0.9853502837189001,3,REL_GOLD_PLATINUM,high_q75,8.184199039729112e-05,8.184199039729112e-05,arx_external_plus_target_lags,RandomForestClassifierPermutation,20,0.9852684417285028,4.0156049334019196e-05,,tci_same_scale_STC
classification,0.9853502837189001,3,REL_GOLD_SILVER,high_q75,0.004251236723410545,0.004251236723410545,arx_external_plus_target_lags,RandomForestClassifierPermutation,20,0.9810990469954896,0.001864832847711752,,tci_same_scale_STC
classification,0.9853502837189001,3,REL_PLATINUM_PALLADIUM,high_q75,0.0037238105630729157,0.0037238105630729157,arx_external_plus_target_lags,RandomForestClassifierPermutation,20,0.9816264731558272,0.0006422071371592539,,tci_same_scale_STC
classification,0.9853502837189001,3,RISK_STRESS,high_q75,1.1102230246251565e-16,1.1102230246251565e-16,arx_external_plus_target_lags,RandomForestClassifierPermutation,15,0.9853502837189,1.1102230246251565e-16,,tci_same_scale_STC
classification,0.9853502837189001,3,TCI_AR,high_q75,0.2971773606867453,0.2971773606867453,arx_external_plus_target_lags,RandomForestClassifierPermutation,5,0.6881729230321548,0.02342564677568153,,tci_same_scale_STC
classification,0.9853502837189001,3,USD,high_q75,0.0002955405208788786,0.0002955405208788786,arx_external_plus_target_lags,RandomForestClassifierPermutation,10,0.9850547431980212,0.0005378666444656322,,tci_same_scale_STC
classification,,3,CFTC_GOLD,high_q90,5.760316267099547,5.760316267099547,external_only,LogisticCoefficient,35,,,0.3659542057808757,tci_same_scale_STC
classification,,3,CFTC_PALLADIUM,high_q90,8.743578824520448,8.743578824520448,external_only,LogisticCoefficient,35,,,1.1515761799094375,tci_same_scale_STC
classification,,3,CFTC_PLATINUM,high_q90,6.212707465990402,6.212707465990402,external_only,LogisticCoefficient,35,,,1.6921428093890163,tci_same_scale_STC
classification,,3,CFTC_SILVER,high_q90,8.63181024246701,8.63181024246701,external_only,LogisticCoefficient,35,,,-2.465458004466217,tci_same_scale_STC
classification,,3,GPR,high_q90,11.352113836829496,11.352113836829496,external_only,LogisticCoefficient,25,,,0.384189814311452,tci_same_scale_STC
classification,,3,INFLATION_GROWTH,high_q90,5.391356836815456,5.391356836815456,external_only,LogisticCoefficient,15,,,3.311451539548683,tci_same_scale_STC
classification,,3,OIL,high_q90,6.833651767424037,6.833651767424037,external_only,LogisticCoefficient,10,,,-4.562721498154403,tci_same_scale_STC
classification,,3,RATE,high_q90,6.423319903046449,6.423319903046449,external_only,LogisticCoefficient,20,,,4.676764289141391,tci_same_scale_STC
classification,,3,REL_GOLD_PLATINUM,high_q90,7.440568937445583,7.440568937445583,external_only,LogisticCoefficient,20,,,0.13002456501457593,tci_same_scale_STC
classification,,3,REL_GOLD_SILVER,high_q90,9.147165426597066,9.147165426597066,external_only,LogisticCoefficient,20,,,-3.9980550667193357,tci_same_scale_STC
classification,,3,REL_PLATINUM_PALLADIUM,high_q90,4.6154330750264005,4.6154330750264005,external_only,LogisticCoefficient,20,,,-2.1775397203927476,tci_same_scale_STC
