analysis_type,base_score,fold,group,importance_drop,importance_positive,mode,model_type,n_features,permuted_score_mean,permuted_score_std,signed_importance,target,target_type
regression,,3,CFTC_GOLD,4.204786135142924,4.204786135142924,external_only,ElasticNetCoefficient,35,,,-0.8928553423147759,tci_same_scale_STC,level
regression,,3,CFTC_PALLADIUM,3.949094049749573,3.949094049749573,external_only,ElasticNetCoefficient,35,,,0.9525622420601207,tci_same_scale_STC,level
regression,,3,CFTC_PLATINUM,3.3651389125707345,3.3651389125707345,external_only,ElasticNetCoefficient,35,,,0.19095189775265334,tci_same_scale_STC,level
regression,,3,CFTC_SILVER,4.11811224512399,4.11811224512399,external_only,ElasticNetCoefficient,35,,,-0.9980141259489972,tci_same_scale_STC,level
regression,,3,GPR,3.239148662206933,3.239148662206933,external_only,ElasticNetCoefficient,25,,,-0.4092314548848908,tci_same_scale_STC,level
regression,,3,INFLATION_GROWTH,4.794512308310982,4.794512308310982,external_only,ElasticNetCoefficient,15,,,2.0463612044250277,tci_same_scale_STC,level
regression,,3,OIL,1.2438924043553863,1.2438924043553863,external_only,ElasticNetCoefficient,10,,,-0.8114358725986586,tci_same_scale_STC,level
regression,,3,RATE,1.0934015127672903,1.0934015127672903,external_only,ElasticNetCoefficient,20,,,0.783761314846744,tci_same_scale_STC,level
regression,,3,REL_GOLD_PLATINUM,2.553755558706816,2.553755558706816,external_only,ElasticNetCoefficient,20,,,1.5687559762712535,tci_same_scale_STC,level
regression,,3,REL_GOLD_SILVER,1.8897177728537164,1.8897177728537164,external_only,ElasticNetCoefficient,20,,,-0.913176428947008,tci_same_scale_STC,level
regression,,3,REL_PLATINUM_PALLADIUM,2.3423562900102315,2.3423562900102315,external_only,ElasticNetCoefficient,20,,,1.4581340209167952,tci_same_scale_STC,level
regression,,3,RISK_STRESS,1.0557734639771943,1.0557734639771943,external_only,ElasticNetCoefficient,15,,,0.13302494116834007,tci_same_scale_STC,level
regression,,3,USD,3.1169584715470613,3.1169584715470613,external_only,ElasticNetCoefficient,10,,,2.306551999451375,tci_same_scale_STC,level
regression,0.054877456817510106,3,CFTC_GOLD,0.013622554312275215,0.013622554312275215,external_only,RandomForestPermutation,35,0.04125490250523489,0.00032665129805176135,,tci_same_scale_STC,level
regression,0.054877456817510106,3,CFTC_PALLADIUM,0.002784864383475659,0.002784864383475659,external_only,RandomForestPermutation,35,0.05209259243403445,0.0003038901104099478,,tci_same_scale_STC,level
regression,0.054877456817510106,3,CFTC_PLATINUM,-0.00851762571361643,0.0,external_only,RandomForestPermutation,35,0.06339508253112654,0.0007987907604051855,,tci_same_scale_STC,level
regression,0.054877456817510106,3,CFTC_SILVER,0.04140784137745882,0.04140784137745882,external_only,RandomForestPermutation,35,0.013469615440051283,0.0019191905748144802,,tci_same_scale_STC,level
regression,0.054877456817510106,3,GPR,-1.2559397966072083e-15,0.0,external_only,RandomForestPermutation,25,0.05487745681751136,1.1188271612589173e-15,,tci_same_scale_STC,level
regression,0.054877456817510106,3,INFLATION_GROWTH,0.013347101295597574,0.013347101295597574,external_only,RandomForestPermutation,15,0.04153035552191253,0.0021719426393688483,,tci_same_scale_STC,level
regression,0.054877456817510106,3,OIL,0.28886997229219935,0.28886997229219935,external_only,RandomForestPermutation,10,-0.23399251547468922,0.02428830535101925,,tci_same_scale_STC,level
regression,0.054877456817510106,3,RATE,0.014411543623521518,0.014411543623521518,external_only,RandomForestPermutation,20,0.04046591319398859,0.0027233089927827343,,tci_same_scale_STC,level
regression,0.054877456817510106,3,REL_GOLD_PLATINUM,-0.0034387629722830715,0.0,external_only,RandomForestPermutation,20,0.05831621978979318,0.000497875137581358,,tci_same_scale_STC,level
regression,0.054877456817510106,3,REL_GOLD_SILVER,-0.04004701714907366,0.0,external_only,RandomForestPermutation,20,0.09492447396658377,0.004018155913912958,,tci_same_scale_STC,level
regression,0.054877456817510106,3,REL_PLATINUM_PALLADIUM,-0.011277857835834279,0.0,external_only,RandomForestPermutation,20,0.06615531465334439,0.0022259271907377697,,tci_same_scale_STC,level
regression,0.054877456817510106,3,RISK_STRESS,-0.013344999361182316,0.0,external_only,RandomForestPermutation,15,0.06822245617869242,0.0013526867896664788,,tci_same_scale_STC,level
