variable,group
gold_silver_ratio_spot,REL_GOLD_SILVER
gpr_act,GPR
gold_platinum_ratio_spot_logchg,REL_GOLD_PLATINUM
gold_platinum_ratio_spot,REL_GOLD_PLATINUM
platinum_palladium_ratio_spot_logchg,REL_PLATINUM_PALLADIUM
platinum_palladium_ratio_spot,REL_PLATINUM_PALLADIUM
gold_silver_ratio_spot_logchg,REL_GOLD_SILVER
gold_platinum_ratio_futures_logchg,REL_GOLD_PLATINUM
gold_platinum_ratio_futures,REL_GOLD_PLATINUM
platinum_palladium_ratio_futures_logchg,REL_PLATINUM_PALLADIUM
platinum_palladium_ratio_futures,REL_PLATINUM_PALLADIUM
gold_silver_ratio_futures_logchg,REL_GOLD_SILVER
gold_silver_ratio_futures,REL_GOLD_SILVER
gpr_narrow,GPR
gpr_broad,GPR
gpr_threat,GPR
gpr,GPR
cftc_platinum_oi_change_ratio,CFTC_PLATINUM
cftc_gold_managed_money_net_ratio,CFTC_GOLD
cftc_gold_producer_merchant_net_ratio,CFTC_GOLD
cftc_gold_swap_net_ratio,CFTC_GOLD
cftc_gold_other_reportable_net_ratio,CFTC_GOLD
cftc_gold_nonreportable_net_ratio,CFTC_GOLD
cftc_gold_oi_change_ratio,CFTC_GOLD
cftc_palladium_oi,CFTC_PALLADIUM
cftc_palladium_oi_change_ratio,CFTC_PALLADIUM
cftc_palladium_managed_money_net_ratio,CFTC_PALLADIUM
cftc_palladium_producer_merchant_net_ratio,CFTC_PALLADIUM
cftc_palladium_swap_net_ratio,CFTC_PALLADIUM
cftc_gold_oi,CFTC_GOLD
cftc_platinum_oi,CFTC_PLATINUM
cftc_silver_nonreportable_net_ratio,CFTC_SILVER
cftc_platinum_managed_money_net_ratio,CFTC_PLATINUM
cftc_palladium_nonreportable_net_ratio,CFTC_PALLADIUM
cftc_platinum_producer_merchant_net_ratio,CFTC_PLATINUM
cftc_platinum_swap_net_ratio,CFTC_PLATINUM
cftc_platinum_other_reportable_net_ratio,CFTC_PLATINUM
cftc_platinum_nonreportable_net_ratio,CFTC_PLATINUM
cftc_silver_oi,CFTC_SILVER
cftc_silver_oi_change_ratio,CFTC_SILVER
cftc_silver_managed_money_net_ratio,CFTC_SILVER
cftc_silver_producer_merchant_net_ratio,CFTC_SILVER
cftc_silver_swap_net_ratio,CFTC_SILVER
cftc_silver_other_reportable_net_ratio,CFTC_SILVER
cftc_palladium_other_reportable_net_ratio,CFTC_PALLADIUM
financial_stress,RISK_STRESS
industrial_production,INFLATION_GROWTH
vix_close_logret,RISK_STRESS
vix_close,RISK_STRESS
wti_price_usd,OIL
wti_price_usd_logret,OIL
yield_10y,RATE
real_rate_10y_approx_delta,RATE
breakeven_10y_delta,INFLATION_GROWTH
yield_10y_delta,RATE
real_rate_10y_approx,RATE
breakeven_10y,INFLATION_GROWTH
dollar_index_logret,USD
dollar_index,USD
