feature_set,fold,mae,model,model_family,n_test,n_train,r2,rmse,target,target_type,test_end,test_start,test_std,train_end,train_start
mean_baseline,1,3.6061635458254533,Mean,Mean,389,1427,-0.4667765866585003,4.1696633933014935,tci_same_scale_STC,level,2022-03-16,2020-03-04,3.442857220776137,2020-03-03,2013-04-08
target_lags,1,0.24347643317850345,AR_Ridge,AR,389,1427,0.9885056719396433,0.36911424543363786,tci_same_scale_STC,level,2022-03-16,2020-03-04,3.442857220776137,2020-03-03,2013-04-08
external_only,1,5.9622243243239375,Exog_Ridge,Exog,389,1427,-2.7467638463320783,6.664186966180151,tci_same_scale_STC,level,2022-03-16,2020-03-04,3.442857220776137,2020-03-03,2013-04-08
arx_external_plus_target_lags,1,1.1799756403468507,ARX_Ridge,ARX,389,1427,0.8473082054444679,1.3453239137315884,tci_same_scale_STC,level,2022-03-16,2020-03-04,3.442857220776137,2020-03-03,2013-04-08
external_only,1,5.879159015861777,Exog_ElasticNet,Exog,389,1427,-2.8342922342658103,6.741578833712661,tci_same_scale_STC,level,2022-03-16,2020-03-04,3.442857220776137,2020-03-03,2013-04-08
arx_external_plus_target_lags,1,0.573583226131084,ARX_ElasticNet,ARX,389,1427,0.9604106347013148,0.6850279347786576,tci_same_scale_STC,level,2022-03-16,2020-03-04,3.442857220776137,2020-03-03,2013-04-08
external_only,1,6.692350194922604,Exog_RandomForest,Exog,389,1427,-3.8303130554564406,7.566702369562982,tci_same_scale_STC,level,2022-03-16,2020-03-04,3.442857220776137,2020-03-03,2013-04-08
arx_external_plus_target_lags,1,5.205239675341601,ARX_RandomForest,ARX,389,1427,-1.9177641766882347,5.880904220649031,tci_same_scale_STC,level,2022-03-16,2020-03-04,3.442857220776137,2020-03-03,2013-04-08
external_only,1,6.520567229196146,Exog_ExtraTrees,Exog,389,1427,-3.5980675776864652,7.382554934491798,tci_same_scale_STC,level,2022-03-16,2020-03-04,3.442857220776137,2020-03-03,2013-04-08
arx_external_plus_target_lags,1,5.480258189544736,ARX_ExtraTrees,ARX,389,1427,-2.0610065155384127,6.023530856130958,tci_same_scale_STC,level,2022-03-16,2020-03-04,3.442857220776137,2020-03-03,2013-04-08
mean_baseline,2,6.144223076080284,Mean,Mean,389,1816,-80.26730095260983,6.1823781188775095,tci_same_scale_STC,level,2024-03-12,2022-03-17,0.6858002596514201,2022-03-16,2013-04-08
target_lags,2,0.09217817503798174,AR_Ridge,AR,389,1816,0.9598737319748682,0.13737636796460514,tci_same_scale_STC,level,2024-03-12,2022-03-17,0.6858002596514201,2022-03-16,2013-04-08
external_only,2,8.508634569842304,Exog_Ridge,Exog,389,1816,-190.11498318285007,9.480800619274188,tci_same_scale_STC,level,2024-03-12,2022-03-17,0.6858002596514201,2022-03-16,2013-04-08
