target,importance_mode,fold,feature,group,tree_importance
tci_same_scale_STC,external_only,3,gold_silver_ratio_spot_lag1,REL_GOLD_SILVER,0.004922547273506504
tci_same_scale_STC,external_only,3,gold_silver_ratio_spot_lag5,REL_GOLD_SILVER,0.0024840441702633654
tci_same_scale_STC,external_only,3,gold_silver_ratio_spot_lag20,REL_GOLD_SILVER,0.008444769293995905
tci_same_scale_STC,external_only,3,gold_silver_ratio_spot_ma20_lag1,REL_GOLD_SILVER,0.00909132583667856
tci_same_scale_STC,external_only,3,gold_silver_ratio_spot_std20_lag1,REL_GOLD_SILVER,0.0003677997186827246
tci_same_scale_STC,external_only,3,gpr_act_lag1,GPR,3.879386021204775e-05
tci_same_scale_STC,external_only,3,gpr_act_lag5,GPR,0.0007706642715515776
tci_same_scale_STC,external_only,3,gpr_act_lag20,GPR,4.861433435080893e-05
tci_same_scale_STC,external_only,3,gpr_act_ma20_lag1,GPR,0.00012113804374028843
tci_same_scale_STC,external_only,3,gpr_act_std20_lag1,GPR,0.008466468883001708
tci_same_scale_STC,external_only,3,gold_platinum_ratio_spot_logchg_lag1,REL_GOLD_PLATINUM,0.0
tci_same_scale_STC,external_only,3,gold_platinum_ratio_spot_logchg_lag5,REL_GOLD_PLATINUM,0.0
tci_same_scale_STC,external_only,3,gold_platinum_ratio_spot_logchg_lag20,REL_GOLD_PLATINUM,0.0
tci_same_scale_STC,external_only,3,gold_platinum_ratio_spot_logchg_ma20_lag1,REL_GOLD_PLATINUM,0.0
tci_same_scale_STC,external_only,3,gold_platinum_ratio_spot_logchg_std20_lag1,REL_GOLD_PLATINUM,1.8217062127341847e-05
tci_same_scale_STC,external_only,3,gold_platinum_ratio_spot_lag1,REL_GOLD_PLATINUM,0.003211325545838836
tci_same_scale_STC,external_only,3,gold_platinum_ratio_spot_lag5,REL_GOLD_PLATINUM,0.012460607633728794
tci_same_scale_STC,external_only,3,gold_platinum_ratio_spot_lag20,REL_GOLD_PLATINUM,0.00200340820066137
tci_same_scale_STC,external_only,3,gold_platinum_ratio_spot_ma20_lag1,REL_GOLD_PLATINUM,0.00811768637635604
tci_same_scale_STC,external_only,3,gold_platinum_ratio_spot_std20_lag1,REL_GOLD_PLATINUM,0.00020769255526975
tci_same_scale_STC,external_only,3,platinum_palladium_ratio_spot_logchg_lag1,REL_PLATINUM_PALLADIUM,2.5932571053294364e-07
tci_same_scale_STC,external_only,3,platinum_palladium_ratio_spot_logchg_lag5,REL_PLATINUM_PALLADIUM,0.0
tci_same_scale_STC,external_only,3,platinum_palladium_ratio_spot_logchg_lag20,REL_PLATINUM_PALLADIUM,0.0
tci_same_scale_STC,external_only,3,platinum_palladium_ratio_spot_logchg_ma20_lag1,REL_PLATINUM_PALLADIUM,1.027767467038567e-06
tci_same_scale_STC,external_only,3,platinum_palladium_ratio_spot_logchg_std20_lag1,REL_PLATINUM_PALLADIUM,0.0
tci_same_scale_STC,external_only,3,platinum_palladium_ratio_spot_lag1,REL_PLATINUM_PALLADIUM,0.006688980880119414
tci_same_scale_STC,external_only,3,platinum_palladium_ratio_spot_lag5,REL_PLATINUM_PALLADIUM,0.011292322746144327
tci_same_scale_STC,external_only,3,platinum_palladium_ratio_spot_lag20,REL_PLATINUM_PALLADIUM,0.0037703594234205855
tci_same_scale_STC,external_only,3,platinum_palladium_ratio_spot_ma20_lag1,REL_PLATINUM_PALLADIUM,0.011801097900384935
tci_same_scale_STC,external_only,3,platinum_palladium_ratio_spot_std20_lag1,REL_PLATINUM_PALLADIUM,0.00011441394427923421
tci_same_scale_STC,external_only,3,gold_silver_ratio_spot_logchg_lag1,REL_GOLD_SILVER,0.0
tci_same_scale_STC,external_only,3,gold_silver_ratio_spot_logchg_lag5,REL_GOLD_SILVER,0.0
tci_same_scale_STC,external_only,3,gold_silver_ratio_spot_logchg_lag20,REL_GOLD_SILVER,0.0
tci_same_scale_STC,external_only,3,gold_silver_ratio_spot_logchg_ma20_lag1,REL_GOLD_SILVER,8.88800544715569e-06
tci_same_scale_STC,external_only,3,gold_silver_ratio_spot_logchg_std20_lag1,REL_GOLD_SILVER,3.584856048841993e-05
tci_same_scale_STC,external_only,3,gold_platinum_ratio_futures_logchg_lag1,REL_GOLD_PLATINUM,0.0
tci_same_scale_STC,external_only,3,gold_platinum_ratio_futures_logchg_lag5,REL_GOLD_PLATINUM,0.0
tci_same_scale_STC,external_only,3,gold_platinum_ratio_futures_logchg_lag20,REL_GOLD_PLATINUM,0.0
tci_same_scale_STC,external_only,3,gold_platinum_ratio_futures_logchg_ma20_lag1,REL_GOLD_PLATINUM,0.0
tci_same_scale_STC,external_only,3,gold_platinum_ratio_futures_logchg_std20_lag1,REL_GOLD_PLATINUM,1.3596197884350604e-05
tci_same_scale_STC,external_only,3,gold_platinum_ratio_futures_lag1,REL_GOLD_PLATINUM,0.004854389468209349
tci_same_scale_STC,external_only,3,gold_platinum_ratio_futures_lag5,REL_GOLD_PLATINUM,0.0017617184164270706
tci_same_scale_STC,external_only,3,gold_platinum_ratio_futures_lag20,REL_GOLD_PLATINUM,0.008148442648949083
tci_same_scale_STC,external_only,3,gold_platinum_ratio_futures_ma20_lag1,REL_GOLD_PLATINUM,0.0033043358849026523
tci_same_scale_STC,external_only,3,gold_platinum_ratio_futures_std20_lag1,REL_GOLD_PLATINUM,0.0
tci_same_scale_STC,external_only,3,platinum_palladium_ratio_futures_logchg_lag1,REL_PLATINUM_PALLADIUM,0.0
tci_same_scale_STC,external_only,3,platinum_palladium_ratio_futures_logchg_lag5,REL_PLATINUM_PALLADIUM,0.0
tci_same_scale_STC,external_only,3,platinum_palladium_ratio_futures_logchg_lag20,REL_PLATINUM_PALLADIUM,0.0
tci_same_scale_STC,external_only,3,platinum_palladium_ratio_futures_logchg_ma20_lag1,REL_PLATINUM_PALLADIUM,1.1207750877046074e-05
tci_same_scale_STC,external_only,3,platinum_palladium_ratio_futures_logchg_std20_lag1,REL_PLATINUM_PALLADIUM,0.00015192735333094395
tci_same_scale_STC,external_only,3,platinum_palladium_ratio_futures_lag1,REL_PLATINUM_PALLADIUM,0.005509702111444128
tci_same_scale_STC,external_only,3,platinum_palladium_ratio_futures_lag5,REL_PLATINUM_PALLADIUM,0.006928596982944889
tci_same_scale_STC,external_only,3,platinum_palladium_ratio_futures_lag20,REL_PLATINUM_PALLADIUM,0.002622207456052424
tci_same_scale_STC,external_only,3,platinum_palladium_ratio_futures_ma20_lag1,REL_PLATINUM_PALLADIUM,0.00858605221427777
tci_same_scale_STC,external_only,3,platinum_palladium_ratio_futures_std20_lag1,REL_PLATINUM_PALLADIUM,0.0
tci_same_scale_STC,external_only,3,gold_silver_ratio_futures_logchg_lag1,REL_GOLD_SILVER,0.0
tci_same_scale_STC,external_only,3,gold_silver_ratio_futures_logchg_lag5,REL_GOLD_SILVER,0.0
tci_same_scale_STC,external_only,3,gold_silver_ratio_futures_logchg_lag20,REL_GOLD_SILVER,0.0
tci_same_scale_STC,external_only,3,gold_silver_ratio_futures_logchg_ma20_lag1,REL_GOLD_SILVER,5.430970001882787e-06
tci_same_scale_STC,external_only,3,gold_silver_ratio_futures_logchg_std20_lag1,REL_GOLD_SILVER,0.0
tci_same_scale_STC,external_only,3,gold_silver_ratio_futures_lag1,REL_GOLD_SILVER,0.00780940051011921
tci_same_scale_STC,external_only,3,gold_silver_ratio_futures_lag5,REL_GOLD_SILVER,0.0023110374597832863
tci_same_scale_STC,external_only,3,gold_silver_ratio_futures_lag20,REL_GOLD_SILVER,0.006483453768750605
tci_same_scale_STC,external_only,3,gold_silver_ratio_futures_ma20_lag1,REL_GOLD_SILVER,0.011734534356273325
tci_same_scale_STC,external_only,3,gold_silver_ratio_futures_std20_lag1,REL_GOLD_SILVER,0.0
tci_same_scale_STC,external_only,3,gpr_narrow_lag1,GPR,0.001985422244717178
tci_same_scale_STC,external_only,3,gpr_narrow_lag5,GPR,0.006361540161150344
tci_same_scale_STC,external_only,3,gpr_narrow_lag20,GPR,0.007189351493004262
tci_same_scale_STC,external_only,3,gpr_narrow_ma20_lag1,GPR,0.041457862753198134
tci_same_scale_STC,external_only,3,gpr_narrow_std20_lag1,GPR,0.004456672294783119
tci_same_scale_STC,external_only,3,gpr_broad_lag1,GPR,0.016166384103237164
tci_same_scale_STC,external_only,3,gpr_broad_lag5,GPR,0.001322170394055299
tci_same_scale_STC,external_only,3,gpr_broad_lag20,GPR,0.02721596834016119
tci_same_scale_STC,external_only,3,gpr_broad_ma20_lag1,GPR,0.0018410073397164453
tci_same_scale_STC,external_only,3,gpr_broad_std20_lag1,GPR,0.01248700253761673
tci_same_scale_STC,external_only,3,gpr_threat_lag1,GPR,0.0055420659326083765
tci_same_scale_STC,external_only,3,gpr_threat_lag5,GPR,0.002187235724600868
tci_same_scale_STC,external_only,3,gpr_threat_lag20,GPR,0.0026946540261868403
tci_same_scale_STC,external_only,3,gpr_threat_ma20_lag1,GPR,0.013109292805995154
tci_same_scale_STC,external_only,3,gpr_threat_std20_lag1,GPR,0.0013771217177013623
